Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Branch and Bound,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,4,0.03461750003043562
Branch and Bound,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,0,0.018047699995804578
Branch and Bound,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,1,0.01813769998261705
Branch and Bound,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,2,0.01793610001914203
Branch and Bound,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,3,0.017815599974710494
Branch and Bound,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,4,0.017846300033852458
Branch and Bound,16,666,"[0, 14, 3, 12, 15, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 0]",63.0,0,0.877556600025855
Branch and Bound,16,666,"[0, 14, 3, 12, 15, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 0]",63.0,1,0.8804527000174858
Branch and Bound,16,666,"[0, 14, 3, 12, 15, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 0]",63.0,2,0.8785652000224218
Branch and Bound,16,666,"[0, 14, 3, 12, 15, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 0]",63.0,3,0.8815031999838538
Branch and Bound,16,666,"[0, 14, 3, 12, 15, 7, 2, 9, 5, 10, 11, 8, 13, 4, 1, 6, 0]",63.0,4,0.8795580000150949
Branch and Bound,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,0,0.21751810004934669
Branch and Bound,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,1,0.20647390000522137
Branch and Bound,17,666,"[0, 1, 5, 8, 11, 3, 9, 10, 14, 13, 4, 6, 12, 7, 2, 16, 15, 0]",55.0,2,0.2064325000392273
