Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Beam width,Time
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 16, 13, 6, 19, 28, 11, 7, 5, 1, 24, 2, 20, 27, 22, 15, 9, 23, 0]",93.0,4,4,0.15209170000161976
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 2, 20, 9, 1, 24, 22, 15, 6, 23, 27, 16, 13, 0]",87.0,0,7,0.26048449997324497
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 2, 20, 9, 1, 24, 22, 15, 6, 23, 27, 16, 13, 0]",87.0,1,7,0.2605898000183515
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 2, 20, 9, 1, 24, 22, 15, 6, 23, 27, 16, 13, 0]",87.0,2,7,0.2627052000025287
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 2, 20, 9, 1, 24, 22, 15, 6, 23, 27, 16, 13, 0]",87.0,3,7,0.26069200003985316
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 17, 18, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 2, 20, 9, 1, 24, 22, 15, 6, 23, 27, 16, 13, 0]",87.0,4,7,0.26061009999830276
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,0,10,0.37012310000136495
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,1,10,0.3718389999703504
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,2,10,0.3692367000039667
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,3,10,0.3702278999844566
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,4,10,0.37102699995739385
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,0,13,0.48232950002420694
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,1,13,0.47781200002646074
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,2,13,0.4791115000261925
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,3,13,0.4804262000252493
Beam Search,30,2137,"[0, 26, 4, 25, 21, 3, 22, 16, 23, 10, 12, 8, 14, 29, 19, 28, 11, 7, 5, 15, 9, 1, 6, 20, 17, 18, 27, 24, 2, 13, 0]",71.0,4,13,0.48280540003906935
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 16, 12, 18, 7, 1, 6, 19, 20, 9, 28, 13, 27, 29, 0]",91.0,0,1,0.04194590001134202
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 16, 12, 18, 7, 1, 6, 19, 20, 9, 28, 13, 27, 29, 0]",91.0,1,1,0.04208629997447133
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 16, 12, 18, 7, 1, 6, 19, 20, 9, 28, 13, 27, 29, 0]",91.0,2,1,0.0419349999865517
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 16, 12, 18, 7, 1, 6, 19, 20, 9, 28, 13, 27, 29, 0]",91.0,3,1,0.04207629995653406
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 16, 12, 18, 7, 1, 6, 19, 20, 9, 28, 13, 27, 29, 0]",91.0,4,1,0.042002599977422506
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 13, 27, 1, 6, 7, 16, 20, 9, 28, 29, 19, 12, 18, 0]",66.0,0,4,0.15207559999544173
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 13, 27, 1, 6, 7, 16, 20, 9, 28, 29, 19, 12, 18, 0]",66.0,1,4,0.1517741999705322
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 13, 27, 1, 6, 7, 16, 20, 9, 28, 29, 19, 12, 18, 0]",66.0,2,4,0.15240910003194585
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 13, 27, 1, 6, 7, 16, 20, 9, 28, 29, 19, 12, 18, 0]",66.0,3,4,0.1511742000002414
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 13, 27, 1, 6, 7, 16, 20, 9, 28, 29, 19, 12, 18, 0]",66.0,4,4,0.15141739998944104
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 13, 27, 1, 6, 7, 16, 20, 9, 28, 29, 19, 12, 18, 0]",66.0,0,7,0.2597719000186771
Beam Search,30,3213,"[0, 26, 3, 10, 11, 25, 22, 15, 8, 5, 2, 4, 17, 24, 21, 14, 23, 13, 27, 1, 6, 7, 16, 20, 9, 28, 29, 19, 12, 18, 0]",66.0,1,7,0.2610393000068143
