Algorithm,MatrixSize,Seed,Path,Length,Experiment number,Time
Beam Search,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,3,0.006579199980478734
Beam Search,11,666,"[0, 8, 6, 10, 7, 5, 3, 9, 1, 4, 2, 0]",46.0,4,0.006426999985706061
Beam Search,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,0,0.009290700021665543
Beam Search,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,1,0.009342300007119775
Beam Search,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,2,0.00917249999474734
Beam Search,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,3,0.009102099982555956
Beam Search,12,666,"[0, 1, 2, 5, 7, 11, 10, 4, 9, 8, 3, 6, 0]",63.0,4,0.009114300017245114
Beam Search,13,666,"[0, 1, 2, 5, 4, 9, 6, 7, 3, 10, 8, 12, 11, 0]",60.0,0,0.012767900014296174
Beam Search,13,666,"[0, 1, 2, 5, 4, 9, 6, 7, 3, 10, 8, 12, 11, 0]",60.0,1,0.012793600035365671
Beam Search,13,666,"[0, 1, 2, 5, 4, 9, 6, 7, 3, 10, 8, 12, 11, 0]",60.0,2,0.012615599960554391
Beam Search,13,666,"[0, 1, 2, 5, 4, 9, 6, 7, 3, 10, 8, 12, 11, 0]",60.0,3,0.0128009999752976
Beam Search,13,666,"[0, 1, 2, 5, 4, 9, 6, 7, 3, 10, 8, 12, 11, 0]",60.0,4,0.01257719995919615
Beam Search,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,0,0.017178499954752624
Beam Search,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,1,0.017032100004144013
Beam Search,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,2,0.017241000023204833
Beam Search,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,3,0.017095800023525953
Beam Search,14,666,"[0, 1, 8, 3, 9, 12, 2, 13, 4, 5, 6, 10, 11, 7, 0]",53.0,4,0.01713769999332726
Beam Search,15,666,"[0, 14, 3, 12, 5, 9, 13, 7, 10, 11, 1, 4, 6, 8, 2, 0]",50.0,0,0.022751000011339784
